Username,Comment
Aris Junaedi,Apapun partenya pilianku tetap prabowo....💪💪💪💪💪💪🇮🇩🇮🇩🇮🇩
Hyuna waffda hasballah,Bukan nya kemren benci menjilati ludah sendiri dan lebih memilih jdi penghianat
CisujeGas,jangan pilih Prabowo gibran dari psi guyss
Zulkifli Zulkifli,Keluaga solo betul2 nantang banteng
Lestari S,Wkwkwkwkwkwkwk
Darkun Darkun,Penghianat
aliyah nathania,Tolak pdip ganjar dan anies baswedan keturunan arab Yaman
aliyah nathania,Prabowo-gibran
kiaaa 3,Mau dipecat jadi..mantu😅
Fans boy,Udah udah lagi dinasty politik itu nyata
Amir Mahmud,"Lucu anak Jokowi dan menantunya,rakyat sdh muak sama Jokowi,haha"
Gabrugan Time,Ku bilangggg keluarga ku yg di Bogor dan Jakarta untuk pilih anies Baswedan
Rusdi Yanto,"Tambah satu lg nh seorang penghianat, sdh pd jd orang melupakan siapa yg melambungkan namanya,,,hancur anak muda yg sperti ini,,  salam waras,"
Rian doli Hartawan pakpahan,Masyarakat Sumatra Utara cerdas berpendidikan tidak mungkin pilih oligarki KKN dinasti politik apalagi pencalonan nya dgn cara cara kotor termasuk merusak tatanan hukum konstitusi dan demokrasi
Syarifudin,PDI-P harus bersyukur apa harus marah nih
Rexy Reisy,"Mantaap, so pas pilh yg mudah , and jujur umur ndk masalh  mju trus mas gibran kami pendukung yg setia 🙏🙏🙏🙏"
Boy Rizal,"bpk,mantu,ipar,paman,,,,sangat menjijikan"
kampung tv,Pejabat pada ngelawak semua😂
Bossa Soemantri,"Jangan lagi anak dan menantunya macam Boby yg lompat pagar, presiden Jokowi yg ayah & mertua yg seharusnya sbg negarawanpun sekarang jadi partisan partai !..."
sahabat haffal trans,Maju terus pak boby....jgn dengarkan yg nyinyir😂
alif Kosim,Mantap
jahrun 76,"Ini negara bebas,bukan peternakan politik oligarki."
Boy Tohir,Yg cium tangan sampai sperti itu biasanya yg akan menikamu karna orang2 sperti itu terlihat munfafik apalgi diliingkungn politik dan usaha.Mangnya kalo kerywan gwa sampe ada glagat maj cium tangan gwa suka ngersin tangn gwa biar ga ketarik lengnya..
Wahyuni Yuni,Monggo keluarga bp jokowi  semuanya dukung Bp Prabowo dan Mas gibran. Biar yg gx suka tambh kelojotan kepanasan. Pilihan itu hak kita masing2 ko gx boleh. Seru bngt klo melihat di sosmet pd perang bikin sy ter ngajak2
Abdillah Family,"BN pecundang dinasti politik, kemarin Tempe sekarang kedelai, lupa kalo dia ASN yg hrs netral
Semoga negara ini dijauhkan dari orang2 yg haus kekuasaan dan diberikan petunjuk kpd yg benar
Aamiin 🤲🤲🤲"
lucas FST Studio,Yang tak punya paket main internet semua dukung prabowo….akar rumput pilih prabowo
Hadi Kurniawan,Ganjar mahfud
Tami Rudi,BRAVO POLITIK DINASTI JOKOWI
ANDI PURWANTO,"Alasannya Karena KAKAK IPAR, kan NEGARA ini punya KELUARGANYA 😂😂😂"
Iwan Agustinus Ong,Clan jkw pindah semua ke gerindra
ZALI RAZA,"Kumpul semua,,, jelas arah poltiknya"
Bambang Bambang,"Tdk ada dinasti, keluarga, MK, atau Lain2 semuaitufitnah. Intinya pemimpin dipilih oleh rakyat melalui pemilu. Setiap orang berhak untuk memilih dan dipilih. Sy gibran gitu"
Fadri Antoni,"ITULAH YG DI NAMAKAN HUBUNGAN EMOSIONAL,TAPI BOBY JUJUR MENJAWAB UNTUK MENDUKUNG PRABOWO, BEDA DGN BPK MERTUA NYA YG BILANG NETRAL, MUSTAHIL RASA NYA AKAN BERSIKAP NETRAL,."
Pandapotan Sinaga,Hati-hati keluargs candana
jokobrik,Takut dia karna mantu pak lurah.jare pns netral yo kudune mundur seko pns..piye to ki.
Edy Harianto,"Ga ngaruh blas Bobby Nasution dukung Prabowo Subianto, yg penting GAMA satu putaran 😂"
Puteri rasyifa dekorasi rasyifa,"Keluarga Jokowi kelihatan sangat santun tapi dlm hal politik kekuasaan sangat buruk hk punya adab dan etika,"
Rachmat Hidayat,"Ga perlu segitunya kali loe takzim, sampe ngebungkuk gituu...biasaaa ajaaa...😅😅"
Makmur Bangun,Tuhan Yesus memberkati ...Ganjar..Mahfud...salam satu putaran
andri -,Pdip di tinggalkan orang2 hebat apakah partai ini terlalu sombong?
sutan malenggang dilangit,"Setau saya, org batak jarang yg penghianat."
joger08,Tvone tv provokator.
sutan malenggang dilangit,Tnpa pak lurah bukan apa2. Siap2..
Aries Warjono,"Pilih presiden yg tidak di setir sama ketua partai .kalu presiden masih di anggap petugas partai 
Memalukan"
yudi bertus,Ini lagi?? Mundur dari walikota dong...!!!
Leo Sutarno,hebat..negara ini skrng miliknya jokowi kah???
Lili Ani,Gak ngaruh. Tetap enjoy pilih pak Ganjar Mahfud
Dede Arsyad,Kalo ga dukung bisa dipecat jadi mantu..
Ags Dedy,Copot aja dari PDi
Ebet setya cristy PENJAGA NKRI,Ya Komplotan Dinasti baru muncul
Ayuk Nadia,"Seharusnya presiden itu mencegah kegaduhan  dari keluarganya sendiri,bukan malah menimbulkan tafsir,kira kira,perdebatan di masyarakat luas..."
A,Kira kira kena sangsi engga ya sama Presiden katanya ngajarin Netral 😂😂😂
Bozs Ryoo,the new real orba reborn....
catur skak,"Mantab, insyallh menang 1 putaran"
Fatan Pabian,Satu putaran buat kmnangan Anis Baswedan ok
bimo marqu,"Awaaaaas Orba bangkit
Awaaaaas KKN subur"
Dora Suamanalu,"Mantap bobby..mundur aja dari partai terkorup bgitu,,heran msh aja ada yg dukung partai terkorup yg bikin gaduh se Indonesia dari dulu😂jaman sby yg bayar pendemo partai bangke itu jg😂😂😂😂"
Alisha Assahra,Emang keluarga Jokowi tak tau diri dan malu 🤮
enda suhenda,Jurus terjungkalnya Dinasty Jokowi&Prabowo di 2024 ..Serta Era Baru Anies Ganjar pemimpin Baru
Panji Panji,Yang pasti dlm pemerintahan jokowi benar benar bobrok
yandre ogi,Mantapp Pak Walkot Medan ❤😊
Syahrialpakpahan Syahrial,Bodo amat😂😂😂tetap ganjar.gak ngaruh boby😂😂😂
Wiji Lestari,Sudah tidak mengagetkan publik😂. Tergantung mertua. Mertua bilang netral 😂
GARIS LINTASAN,"Ganjar mau naikin gaji guru 30 juta mimpi😂anis BBM gratis😂mimpi, pilih presiden itu yang programnya masuk di akal dong"
Agun Sugandi,Pejabat itu harus netral Ini ko terang terangan
Balerina 37,orang milih bebas
